"REF_DATE","GEO","DGUID","Products","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2017-01","Nova Scotia","2016A000212","Beef stewing cuts, per kilogram","Dollars","81","units","0","v1159447055","3.1","13.12","","","","2"
"2017-02","Nova Scotia","2016A000212","Beef stewing cuts, per kilogram","Dollars","81","units","0","v1159447055","3.1","13.47","","","","2"
"2017-03","Nova Scotia","2016A000212","Beef stewing cuts, per kilogram","Dollars","81","units","0","v1159447055","3.1","13.55","","","","2"
"2017-04","Nova Scotia","2016A000212","Beef stewing cuts, per kilogram","Dollars","81","units","0","v1159447055","3.1","12.26","","","","2"
"2017-05","Nova Scotia","2016A000212","Beef stewing cuts, per kilogram","Dollars","81","units","0","v1159447055","3.1","12.61","","","","2"
"2017-06","Nova Scotia","2016A000212","Beef stewing cuts, per kilogram","Dollars","81","units","0","v1159447055","3.1","12.25","","","","2"
"2017-07","Nova Scotia","2016A000212","Beef stewing cuts, per kilogram","Dollars","81","units","0","v1159447055","3.1","12.74","","","","2"
"2017-08","Nova Scotia","2016A000212","Beef stewing cuts, per kilogram","Dollars","81","units","0","v1159447055","3.1","13.08","","","","2"
"2017-09","Nova Scotia","2016A000212","Beef stewing cuts, per kilogram","Dollars","81","units","0","v1159447055","3.1","14.35","","","","2"
"2017-10","Nova Scotia","2016A000212","Beef stewing cuts, per kilogram","Dollars","81","units","0","v1159447055","3.1","13.33","","","","2"
"2017-11","Nova Scotia","2016A000212","Beef stewing cuts, per kilogram","Dollars","81","units","0","v1159447055","3.1","12.45","","","","2"
"2017-12","Nova Scotia","2016A000212","Beef stewing cuts, per kilogram","Dollars","81","units","0","v1159447055","3.1","13.47","","","","2"
"2018-01","Nova Scotia","2016A000212","Beef stewing cuts, per kilogram","Dollars","81","units","0","v1159447055","3.1","13.34","","","","2"
"2018-02","Nova Scotia","2016A000212","Beef stewing cuts, per kilogram","Dollars","81","units","0","v1159447055","3.1","11.00","","","","2"
"2018-03","Nova Scotia","2016A000212","Beef stewing cuts, per kilogram","Dollars","81","units","0","v1159447055","3.1","12.71","","","","2"
"2018-04","Nova Scotia","2016A000212","Beef stewing cuts, per kilogram","Dollars","81","units","0","v1159447055","3.1","11.70","","","","2"
"2018-05","Nova Scotia","2016A000212","Beef stewing cuts, per kilogram","Dollars","81","units","0","v1159447055","3.1","13.25","","","","2"
"2018-06","Nova Scotia","2016A000212","Beef stewing cuts, per kilogram","Dollars","81","units","0","v1159447055","3.1","15.02","","","","2"
"2018-07","Nova Scotia","2016A000212","Beef stewing cuts, per kilogram","Dollars","81","units","0","v1159447055","3.1","11.98","","","","2"
"2018-08","Nova Scotia","2016A000212","Beef stewing cuts, per kilogram","Dollars","81","units","0","v1159447055","3.1","13.57","","","","2"
"2018-09","Nova Scotia","2016A000212","Beef stewing cuts, per kilogram","Dollars","81","units","0","v1159447055","3.1","11.40","","","","2"
"2018-10","Nova Scotia","2016A000212","Beef stewing cuts, per kilogram","Dollars","81","units","0","v1159447055","3.1","11.32","","","","2"
"2018-11","Nova Scotia","2016A000212","Beef stewing cuts, per kilogram","Dollars","81","units","0","v1159447055","3.1","10.66","","","","2"
"2018-12","Nova Scotia","2016A000212","Beef stewing cuts, per kilogram","Dollars","81","units","0","v1159447055","3.1","13.71","","","","2"
"2019-01","Nova Scotia","2016A000212","Beef stewing cuts, per kilogram","Dollars","81","units","0","v1159447055","3.1","11.78","","","","2"
"2019-02","Nova Scotia","2016A000212","Beef stewing cuts, per kilogram","Dollars","81","units","0","v1159447055","3.1","10.93","","","","2"
"2019-03","Nova Scotia","2016A000212","Beef stewing cuts, per kilogram","Dollars","81","units","0","v1159447055","3.1","11.38","","","","2"
"2019-04","Nova Scotia","2016A000212","Beef stewing cuts, per kilogram","Dollars","81","units","0","v1159447055","3.1","11.83","","","","2"
"2019-05","Nova Scotia","2016A000212","Beef stewing cuts, per kilogram","Dollars","81","units","0","v1159447055","3.1","13.27","","","","2"
"2019-06","Nova Scotia","2016A000212","Beef stewing cuts, per kilogram","Dollars","81","units","0","v1159447055","3.1","13.88","","","","2"
"2019-07","Nova Scotia","2016A000212","Beef stewing cuts, per kilogram","Dollars","81","units","0","v1159447055","3.1","14.35","","","","2"
"2019-08","Nova Scotia","2016A000212","Beef stewing cuts, per kilogram","Dollars","81","units","0","v1159447055","3.1","14.71","","","","2"
"2019-09","Nova Scotia","2016A000212","Beef stewing cuts, per kilogram","Dollars","81","units","0","v1159447055","3.1","13.97","","","","2"
"2019-10","Nova Scotia","2016A000212","Beef stewing cuts, per kilogram","Dollars","81","units","0","v1159447055","3.1","11.31","","","","2"
"2019-11","Nova Scotia","2016A000212","Beef stewing cuts, per kilogram","Dollars","81","units","0","v1159447055","3.1","13.99","","","","2"
"2019-12","Nova Scotia","2016A000212","Beef stewing cuts, per kilogram","Dollars","81","units","0","v1159447055","3.1","14.67","","","","2"
"2020-01","Nova Scotia","2016A000212","Beef stewing cuts, per kilogram","Dollars","81","units","0","v1159447055","3.1","12.76","","","","2"
"2020-02","Nova Scotia","2016A000212","Beef stewing cuts, per kilogram","Dollars","81","units","0","v1159447055","3.1","13.05","","","","2"
"2020-03","Nova Scotia","2016A000212","Beef stewing cuts, per kilogram","Dollars","81","units","0","v1159447055","3.1","14.97","","","","2"
